净值日期,单位净值,累计净值,日增长率,申购状态,赎回状态,分红送配
2021-12-31,1.209,3.77,-0.25%,开放申购,开放赎回,
2021-12-30,1.212,3.773,0.58%,开放申购,开放赎回,
2021-12-29,1.205,3.766,-0.99%,开放申购,开放赎回,
2021-12-28,1.217,3.778,0.83%,开放申购,开放赎回,
2021-12-27,1.207,3.768,0.17%,开放申购,开放赎回,
2021-12-24,1.205,3.766,-0.08%,开放申购,开放赎回,
2021-12-23,1.206,3.767,0.17%,开放申购,开放赎回,
2021-12-22,1.204,3.765,0.58%,开放申购,开放赎回,
2021-12-21,1.197,3.758,0.67%,开放申购,开放赎回,
2021-12-20,1.189,3.75,-1.57%,开放申购,开放赎回,
2021-12-17,1.208,3.769,-1.18%,限制大额申购,开放赎回,每份派现金0.0500元
2021-12-16,1.273,3.784,0.08%,限制大额申购,开放赎回,
2021-12-15,1.272,3.783,-1.47%,限制大额申购,开放赎回,
2021-12-14,1.291,3.802,-0.31%,限制大额申购,开放赎回,
2021-12-13,1.295,3.806,-0.23%,开放申购,开放赎回,
2021-12-10,1.298,3.809,-0.46%,开放申购,开放赎回,
2021-12-09,1.304,3.815,1.56%,开放申购,开放赎回,
2021-12-08,1.284,3.795,1.74%,开放申购,开放赎回,
2021-12-07,1.262,3.773,0.40%,开放申购,开放赎回,
2021-12-06,1.257,3.768,-0.71%,开放申购,开放赎回,
2021-12-03,1.266,3.777,0.72%,开放申购,开放赎回,
2021-12-02,1.257,3.768,-0.40%,开放申购,开放赎回,
2021-12-01,1.262,3.773,-0.63%,开放申购,开放赎回,
2021-11-30,1.27,3.781,-0.70%,开放申购,开放赎回,
2021-11-29,1.279,3.79,0.24%,开放申购,开放赎回,
2021-11-26,1.276,3.787,0.08%,开放申购,开放赎回,
2021-11-25,1.275,3.786,-0.47%,开放申购,开放赎回,
2021-11-24,1.281,3.792,1.43%,开放申购,开放赎回,
2021-11-23,1.263,3.774,0.16%,开放申购,开放赎回,
2021-11-22,1.261,3.772,0.16%,开放申购,开放赎回,
2021-11-19,1.259,3.77,0.48%,开放申购,开放赎回,
2021-11-18,1.253,3.764,-1.18%,开放申购,开放赎回,
2021-11-17,1.268,3.779,0.08%,开放申购,开放赎回,
2021-11-16,1.267,3.778,1.77%,开放申购,开放赎回,
2021-11-15,1.245,3.756,0.89%,开放申购,开放赎回,
2021-11-12,1.234,3.745,-0.24%,开放申购,开放赎回,
2021-11-11,1.237,3.748,0.90%,开放申购,开放赎回,
2021-11-10,1.226,3.737,-0.24%,开放申购,开放赎回,
2021-11-09,1.229,3.74,0.66%,开放申购,开放赎回,
2021-11-08,1.221,3.732,-0.97%,开放申购,开放赎回,
2021-11-05,1.233,3.744,-0.16%,开放申购,开放赎回,
2021-11-04,1.235,3.746,0.57%,开放申购,开放赎回,
2021-11-03,1.228,3.739,-0.24%,开放申购,开放赎回,
2021-11-02,1.231,3.742,-0.57%,开放申购,开放赎回,
2021-11-01,1.238,3.749,-1.04%,开放申购,开放赎回,
2021-10-29,1.251,3.762,1.38%,开放申购,开放赎回,
2021-10-28,1.234,3.745,-0.72%,开放申购,开放赎回,
2021-10-27,1.243,3.754,-1.35%,开放申购,开放赎回,
2021-10-26,1.26,3.771,-0.47%,开放申购,开放赎回,
2021-10-25,1.266,3.777,0.24%,开放申购,开放赎回,
2021-10-22,1.263,3.774,0.64%,开放申购,开放赎回,
2021-10-21,1.255,3.766,0.08%,开放申购,开放赎回,
2021-10-20,1.254,3.765,-0.71%,开放申购,开放赎回,
2021-10-19,1.263,3.774,1.53%,开放申购,开放赎回,
2021-10-18,1.244,3.755,-1.74%,开放申购,开放赎回,
2021-10-15,1.266,3.777,-0.24%,开放申购,开放赎回,
2021-10-14,1.269,3.78,-1.25%,开放申购,开放赎回,
2021-10-13,1.285,3.796,1.98%,开放申购,开放赎回,
2021-10-12,1.26,3.771,-0.47%,开放申购,开放赎回,
2021-10-11,1.266,3.777,-1.17%,开放申购,开放赎回,
2021-10-08,1.281,3.792,-0.31%,开放申购,开放赎回,
2021-09-30,1.285,3.796,1.34%,开放申购,开放赎回,
2021-09-29,1.268,3.779,-0.94%,开放申购,开放赎回,
2021-09-28,1.28,3.791,-0.47%,开放申购,开放赎回,
2021-09-27,1.286,3.797,1.34%,开放申购,开放赎回,
