股票代码,股票名称,成交量
513130,华泰柏瑞南方东英恒生科技(QDII-ETF),6609030486.0
513330,华夏恒生互联网科技业ETF(QDII),4919169558.0
588000,华夏上证科创板50成份ETF,4897205393.0
510300,华泰柏瑞沪深300ETF,4092584085.0
159915,易方达创业板ETF,3023428322.313
510050,华夏上证50ETF,2787569782.0
513120,广发中证香港创新药ETF(QDII),2254102697.0
513060,博时恒生医疗保健(QDII-ETF),1941375821.0
512880,国泰中证全指证券公司ETF,1740025324.0
512100,南方中证1000ETF,1511471581.0
512480,国联安中证半导体ETF,1306155507.0
562500,华夏中证机器人ETF,1184508111.0
159949,华安创业板50ETF,1046989149.064
512000,华宝券商ETF,1019397197.0
159819,易方达中证人工智能主题ETF,950738620.896
512690,鹏华中证酒ETF,744358453.0
512170,华宝中证医疗ETF,675720066.0
510880,华泰柏瑞上证红利ETF,534916071.0
512660,国泰中证军工ETF,523335275.0
515790,华泰柏瑞中证光伏产业ETF,504765658.0
515220,国泰中证煤炭ETF,459419513.0
512890,华泰柏瑞中证红利低波ETF,450054778.0
513660,华夏沪港通恒生ETF,434830600.0
159992,银华中证创新药产业ETF,423486242.824
516510,易方达中证云计算ETF,405534026.0
159869,华夏中证动漫游戏ETF,383927311.1
159766,富国中证旅游主题ETF,373650641.6
512800,华宝中证银行ETF,293912898.0
512400,南方中证申万有色金属ETF,267934405.0
515880,国泰中证全指通信设备ETF,249920233.0
159732,华夏国证消费电子主题ETF,230039920.3
159755,广发国证新能源车电池ETF,182467051.2
513970,景顺长城恒生消费ETF(QDII),170137889.0
512670,鹏华中证国防ETF,165347306.0
159822,新经济ETF,5471000.0
