股票代码,股票名称
515880,通信ETF
000063,中兴通讯
300308,中际旭创
601138,工业富联
601139,深圳燃气
300502,新易盛
688036,传音控股
600522,中天科技
600487,亨通光电
300394,天孚通信
600745,闻泰科技
300136,信维通信
002281,光迅科技
002465,海格通信
300628,亿联网络
603236,移远通信
600498,烽火通信
300638,广和通
300639,凯普生物
300627,华测导航
002583,海能达
300570,太辰光
002151,北斗星通
603083,剑桥科技
000801,四川九洲
003031,中瓷电子
002396,星网锐捷
603712,七一二
300548,博创科技
688387,信科移动-U
000810,创维数字
600105,永鼎股份
300620,光库科技
002881,美格智能
603496,恒为科技
002446,盛路通信
600776,东方通信
600198,大唐电信
688100,威胜信息
002194,武汉凡谷
603118,共进股份
600775,南京熊猫
601869,长飞光纤
301205,联特科技
301165,锐捷网络
300134,大富科技
002792,通宇通讯
688182,灿勤科技
300913,兆龙互连
603341,龙旗科技
301339,通行宝
003040,楚天龙
688027,国盾量子
